id,name,title,sector,status,radius,plane,island,badges,ref
wolff,Michael Wolff,Author · journalist · Fire and Fury,social,active,12,true,false,access,Wikipedia List of people named · Time · USVI civil case
dagostino,Francisco D\,Venezuelan businessman,finance,active,10,false,true,"financial,access",House Judiciary exhibit HHRG-119-JU08-20250227-SD006 · Daily Beast · NBC News Oct 2025
briatore,Flavio Briatore,Italian businessman · Formula One,social,active,10,false,false,"social,postconv",Wikipedia List of people named
siegal,Peggy Siegal,Entertainment publicist · NYC,social,active,10,false,false,"social,access,postconv",Wikipedia List of people named
harris,Josh Harris,Apollo Global Management co-founder,finance,active,11,false,false,"financial,social,postconv",Connections of Jeffrey Epstein Wikipedia
baron,Ron Baron,Baron Capital Group founder,finance,active,10,false,false,"financial,social,postconv",Inside Philanthropy Jan 2026 · Wikipedia Connections of Epstein
razek,Ed Razek,Victoria\,finance,removed,11,false,unclear,"alleged,access",Inside Philanthropy Jan 2026 · Wikipedia Connections of Epstein
bradkarp,Brad Karp,Paul Weiss law firm chairman,legal,active,10,false,false,"legal,access",rhowardstone/Epstein-research PHASE3_HIDDEN_DOMAINS · Wikipedia Connections of Epstein
boyden,Edward Boyden,MIT neuroscientist · optogenetics pioneer,tech,active,11,false,false,"social,postconv",Al Jazeera arrests and resignations Feb 2026
randall,Lisa Randall,Harvard theoretical physicist,tech,active,11,true,true,"social,postconv",Wikipedia List of people named · fancycomma.com Mar 2026 · Inside Higher Ed · MIT Goodwin Procter report 2020
christakis,Nicholas Christakis,Yale sociologist and physician,tech,active,10,false,false,"social,postconv",Inside Higher Ed Feb 2026 · Wikipedia List of people named
gelernter,David Gelernter,Yale computer scientist,tech,stripped,11,false,false,"social,postconv",Inside Higher Ed Feb 2026 · Yale Daily News
horner,Jack Horner,Paleontologist · Montana State / Chapman University,tech,removed,10,false,false,"financial,social,postconv",Inside Higher Ed Feb 2026 · Yale Daily News · EverybodyWiki Epstein list
kosslyn,Steven Kosslyn,Harvard psychologist · Minerva University,tech,active,11,false,false,"access,postconv",Wikipedia List of people named · Inside Higher Ed Feb 2026
wolfe,Nathan Wolfe,Virologist · Global Viral founder,tech,active,10,false,false,"financial,social",fancycomma.com Mar 2026 · Scientific American
hillis,Danny Hillis,Computer scientist · inventor,tech,active,10,false,false,"financial,social",Scientific American Feb 2026 · rhowardstone/Epstein-research science report
damasio,Antonio Damasio,USC neuroscientist · somatic marker theory,tech,active,10,false,false,financial,Scientific American Feb 2026 · Wikipedia Connections of Epstein
richardson,Bill Richardson,New Mexico Governor · Energy Secretary,political,deceased,12,true,true,"social,access",fancycomma.com Mar 2026 · Times Higher Education Feb 2026
dougband,Doug Band,Clinton aide · Teneo founder,political,active,11,true,false,"social,access",Flight logs · Giuffre allegations · Wikipedia Connections
middleton,Mark Middleton,Clinton White House special adviser,political,deceased,10,false,false,access,Wikipedia List of people named · House Oversight releases
pastrana,Andrés Pastrana,Former President of Colombia,political,active,10,true,false,"social,access",House Oversight investigation · Wikipedia Connections
aznar,José María Aznar,Former Prime Minister of Spain,political,active,10,false,false,access,Wikipedia List of people named · Flight logs
gordongety,Gordon Getty,Getty Oil heir · philanthropist,finance,active,11,false,unclear,"financial,social",Wikipedia List of people named · DOJ PEP letter Feb 2026
trivers,Robert Trivers,Biologist · evolutionary theorist,tech,active,10,false,false,"financial,social",Wikipedia List of people named
goertzel,Ben Goertzel,AI researcher · Hanson Robotics chief scientist,tech,active,11,false,false,"financial,social",rhowardstone/Epstein-research science report · Wikipedia List of people named
rmax,Robert Maxwell,British media proprietor (deceased),finance,deceased,11,false,unclear,access,Wikipedia List of people named
chaslin,Frédéric Chaslin,French conductor and composer,social,active,10,false,false,"alleged,access",DOJ PEP letter Feb 2026 · Wikipedia
fekkai,Frédéric Fekkai,Celebrity hairstylist,social,active,10,true,false,alleged,Wikipedia List of people named · European press reporting
wasserman,Casey Wasserman,LA 2028 Olympics chair · Wasserman Media,finance,stripped,11,false,false,"social,postconv",EverybodyWiki Epstein list · Sjoberg deposition
pinto,Alberto & Linda Pinto,Interior designers,social,active,10,false,false,"financial,social",Britannica Epstein timeline · Boston University News Service · Wikipedia
seckel,Al Seckel,Cognitive scientist · Epstein associate,legal,active,10,false,true,"enabler,access",Wikipedia List of people named
drokova,Maria Drokova,Russian investor · venture capitalist,finance,active,10,false,false,access,Wikipedia Connections of Epstein · rhowardstone/Epstein-research
botstein,Leon Botstein,Bard College president,tech,active,11,false,false,"financial,social,postconv",Wikipedia List of people named
marcrowan,Marc Rowan,Apollo Global Management CEO,finance,active,10,false,false,financial,Wikipedia List of people named
chopra,Deepak Chopra,New Age guru · author,social,stripped,11,false,false,"social,postconv",Wikipedia List of people named · Reuters Mar 2026
staceyp,Stacey Plaskett,USVI congressional delegate,political,active,10,false,false,access,Wikipedia List of people named · Vazquez 2026
dchr,DiChristina / Sci Am,Mariette DiChristina · Boston University dean,tech,active,10,false,true,access,NPR Nov 2025 · Britannica · Wikipedia Epstein files
davidblaine,David Blaine,American illusionist,social,active,11,false,false,"social,access,postconv",Scientific American Feb 2026 · Boston University News Service Feb 2026
lavrov,Sergey Lavrov,Russian Foreign Minister,political,active,10,false,false,access,Wikipedia List of people named
gordon,Jeff Gordon,NASCAR driver,social,active,9,false,false,social,Euronews Mar 2026 · Axios Feb 2026 · Wikipedia Connections of Epstein
farkas,Andrew Farkas,Real estate developer · Island Global Yachting,finance,active,11,false,true,"financial,social,postconv",DOJ PEP letter Feb 2026 · address book
previn,Soon-Yi Previn,Woody Allen\,social,active,10,false,false,"social,postconv",Wikipedia List of people named · NYT Dec 2025 · EverybodyWiki
elbegdorj,Tsakhiagiin Elbegdorj,President of Mongolia 2009–2017,political,active,11,false,false,"financial,access",Wikipedia List of people named · Britannica Epstein timeline
tisch,Steve Tisch,New York Giants co-owner · film producer,finance,stripped,12,false,false,"social,postconv",Wikipedia List of people named · EverybodyWiki
delson,Lawrence Delson,Fashion Institute of Technology professor,tech,stripped,9,false,false,"financial,social",Wikipedia List of people named · CNBC Feb 2026 · ESPN Jan 2026
dejongh,John de Jongh Jr.,US Virgin Islands Governor 2007–2015,political,active,10,false,false,"financial,access",Wikipedia List of people named
hanson,David Hanson,Hanson Robotics founder · Sophia robot creator,tech,active,10,false,false,financial,Wikipedia List of people named · EverybodyWiki
ratner,Brett Ratner,Film director,social,active,10,false,false,social,Wikipedia List of people named · EverybodyWiki
warsh,Kevin Warsh,Federal Reserve chair nominee · former Fed governor,finance,active,10,false,false,access,Al Jazeera Feb 2026 visual guide
melania,Melania Trump,First Lady of the United States,social,active,11,false,false,"social,postconv",Britannica Epstein timeline Jan 2026
bondi,Pam Bondi,US Attorney General 2025–2026 (fired),legal,removed,11,false,false,"legal,access",EFTA02332411 · CNBC Apr 9 2026 · CNN Apr 9 2026 · Snopes fact-check Apr 2026 · White House transcript Apr 9 2026
naomi,Naomi Campbell,Supermodel,social,named,11,true,unclear,"social,named",EFTA corpus · FBI Prominent Names briefing Jan 30 2026 · Flight logs via Epstein Flight Explorer · The Guardian · BBC
